iter	TotalF1:average=Macro	MultiClass
0	0.6197638483	1.026177456
1	0.6138461473	0.9687182719
2	0.6441256831	0.9216531582
3	0.6398944835	0.8783653434
4	0.6345635497	0.8449648417
5	0.6575025004	0.8123707941
6	0.6120318297	0.7889018208
7	0.6102876673	0.7659446382
8	0.6292333838	0.7431315062
9	0.6368598492	0.723293615
10	0.6421632835	0.7048141065
11	0.6624421176	0.6905320074
12	0.660042735	0.6761993217
13	0.6575994412	0.6625255354
14	0.6720576455	0.6502146552
15	0.6862046102	0.6397333006
16	0.6908141933	0.6319443099
17	0.6954341801	0.6249241839
18	0.6996176549	0.6164475602
19	0.7017499007	0.6100674114
20	0.7063193244	0.6020375294
21	0.7108179401	0.5925120949
22	0.7153910195	0.583605167
23	0.7063193244	0.5793782595
24	0.7153910195	0.5745800552
25	0.7108932683	0.568899517
26	0.7198918202	0.5635160633
27	0.7198918202	0.5569541469
28	0.7198918202	0.5520531131
29	0.7198918202	0.5468060647
30	0.7198918202	0.5413767391
31	0.7286883531	0.5360848381
32	0.7243236695	0.5326518336
33	0.7284854394	0.5282138832
34	0.7239071077	0.5245830241
35	0.7458267337	0.5202429658
36	0.749940575	0.5165615201
37	0.746009546	0.5123036172
38	0.7501851073	0.50958682
39	0.7544734817	0.5047433809
40	0.7544734817	0.5023780775
41	0.7701835663	0.4991038727
42	0.7744776677	0.4927779737
43	0.7744776677	0.4880278394
44	0.7744776677	0.4841537953
45	0.7783125645	0.4816080304
46	0.7794427311	0.4795905255
47	0.7788924508	0.4760398785
48	0.7756601704	0.4742754018
49	0.7831743252	0.471032734
50	0.7831743252	0.4685816755
51	0.7940752058	0.4639810709
52	0.8018341195	0.4606249019
53	0.8087806199	0.4567128223
54	0.8163462828	0.4540412919
55	0.8129371645	0.4516300846
56	0.8238085606	0.4489921299
57	0.8197131551	0.4429816961
58	0.8238085606	0.439793087
59	0.8238085606	0.4372416518
60	0.8244727411	0.4348030489
61	0.820440462	0.4334186403
62	0.8304218088	0.4310476028
63	0.8318153106	0.4288307779
64	0.8384335267	0.4256494956
65	0.8351445972	0.4227513451
66	0.8377060147	0.419620267
67	0.841682996	0.4174592848
68	0.8448938768	0.4138368356
69	0.8448938768	0.4105982133
70	0.8409156375	0.407687894
71	0.8409156375	0.4031708464
72	0.8440875136	0.4005789548
73	0.8558515127	0.3972855411
74	0.8634131922	0.394275737
75	0.866554544	0.3928542167
76	0.8702566407	0.3909197909
77	0.8702566407	0.3875922918
78	0.8702566407	0.3846262253
79	0.8698820666	0.3826441755
80	0.8661728995	0.3791299394
81	0.8661728995	0.3765586582
82	0.8693143387	0.3748318348
83	0.8730248007	0.3727433557
84	0.8766831226	0.3703086073
85	0.8802906134	0.3669424037
86	0.8766831226	0.3649103408
87	0.8766831226	0.3618202289
88	0.8766831226	0.3599673213
89	0.8802906134	0.3587722938
90	0.8802906134	0.3553274071
91	0.8802906134	0.3522656785
92	0.8838485402	0.3508239937
93	0.8838485402	0.3483623911
94	0.8838485402	0.3464027676
95	0.8838485402	0.3442705509
96	0.8838485402	0.3417033472
97	0.8838485402	0.3386798771
98	0.8838485402	0.3370247923
99	0.8873581298	0.3353081944
100	0.8873581298	0.3320346585
101	0.8908205701	0.3293824962
102	0.8908205701	0.3277901986
103	0.8939338009	0.3265591743
104	0.8973515774	0.3247801715
105	0.8973515774	0.3228353926
106	0.8973515774	0.3215542915
107	0.8973515774	0.3196830988
108	0.8973515774	0.3182906945
109	0.9004308663	0.3151874264
110	0.9004308663	0.3142736511
111	0.9004308663	0.3117383348
112	0.9004308663	0.3112057744
113	0.9004308663	0.3100148561
114	0.9004308663	0.3069484129
115	0.9004308663	0.304687946
116	0.9004308663	0.301930119
117	0.9038051116	0.2992985035
118	0.9038051116	0.2979642036
119	0.9038051116	0.2965765776
120	0.9068512343	0.2950059098
121	0.9068512343	0.29413326
122	0.9068512343	0.2920571409
123	0.9068512343	0.2904615303
124	0.9068512343	0.2883205533
125	0.9068512343	0.2867604935
