iter	Passed	Remaining
0	39	19740
1	78	19640
2	119	19810
3	156	19426
4	188	18660
5	219	18072
6	249	17561
7	283	17457
8	314	17142
9	343	16852
10	373	16598
11	402	16359
12	431	16181
13	460	15994
14	491	15879
15	519	15720
16	547	15562
17	578	15494
18	606	15359
19	634	15235
20	666	15191
21	694	15085
22	723	14995
23	754	14965
24	785	14915
25	812	14819
26	843	14775
27	870	14678
28	898	14600
29	928	14544
30	958	14508
31	988	14462
32	1019	14430
33	1050	14398
34	1091	14499
35	1128	14549
36	1161	14532
37	1194	14519
38	1223	14459
39	1253	14411
40	1283	14364
41	1320	14398
42	1355	14410
43	1385	14357
44	1414	14301
45	1445	14262
46	1473	14205
47	1507	14198
48	1536	14144
49	1566	14095
50	1594	14037
51	1622	13977
52	1652	13934
53	1680	13880
54	1708	13827
55	1737	13777
56	1767	13736
57	1797	13699
58	1827	13660
59	1855	13608
60	1885	13565
61	1913	13516
62	1952	13543
63	1987	13536
64	2022	13535
65	2056	13524
66	2083	13466
67	2110	13407
68	2139	13362
69	2166	13307
70	2200	13293
71	2228	13247
72	2257	13204
73	2286	13163
74	2316	13125
75	2352	13126
76	2381	13080
77	2413	13055
78	2441	13013
79	2473	12986
80	2501	12940
81	2529	12895
82	2558	12852
83	2589	12823
84	2618	12785
85	2647	12745
86	2677	12710
87	2706	12673
88	2734	12627
89	2762	12586
90	2791	12546
91	2823	12521
92	2852	12482
93	2881	12444
94	2909	12402
95	2943	12385
96	2971	12345
97	3003	12321
98	3033	12287
99	3062	12251
100	3095	12229
101	3126	12197
102	3158	12175
103	3188	12142
104	3217	12103
105	3247	12069
106	3278	12040
107	3313	12026
108	3344	11997
109	3373	11959
110	3402	11922
111	3432	11890
112	3465	11866
113	3494	11831
114	3523	11797
115	3553	11764
116	3583	11730
117	3613	11697
118	3644	11668
119	3672	11628
120	3702	11595
121	3729	11555
122	3765	11542
123	3793	11503
124	3822	11468
125	3850	11430
126	3882	11401
127	3915	11380
128	3945	11348
129	3975	11315
130	4005	11282
131	4032	11242
132	4060	11205
133	4095	11186
134	4127	11160
135	4156	11125
136	4188	11097
137	4217	11062
138	4245	11027
139	4276	10997
140	4306	10963
141	4336	10933
142	4364	10895
143	4392	10859
144	4423	10828
145	4457	10808
146	4492	10788
147	4527	10768
148	4556	10734
149	4593	10717
150	4618	10675
151	4647	10639
152	4672	10598
153	4701	10562
154	4730	10529
155	4758	10493
156	4788	10461
157	4816	10425
158	4845	10392
159	4875	10360
160	4904	10326
161	4933	10293
162	4964	10264
163	4995	10235
164	5027	10206
165	5059	10180
166	5092	10153
167	5123	10125
168	5154	10095
169	5186	10068
170	5218	10039
171	5253	10017
172	5287	9993
173	5315	9958
174	5343	9924
175	5372	9890
176	5404	9863
177	5434	9830
178	5463	9797
179	5494	9767
180	5524	9736
181	5553	9704
182	5583	9671
183	5614	9642
184	5644	9611
185	5676	9583
186	5707	9552
187	5739	9525
188	5770	9494
189	5798	9460
190	5831	9434
191	5862	9404
192	5892	9372
193	5923	9342
194	5953	9312
195	5984	9281
196	6021	9261
197	6051	9229
198	6079	9196
199	6110	9166
200	6138	9131
201	6172	9105
202	6200	9071
203	6234	9046
204	6264	9014
205	6293	8982
206	6324	8951
207	6351	8917
208	6381	8884
209	6410	8852
210	6438	8818
211	6469	8788
212	6496	8753
213	6524	8719
214	6554	8688
215	6582	8655
216	6610	8621
217	6640	8589
218	6669	8558
219	6698	8525
220	6727	8492
221	6755	8459
222	6783	8426
223	6812	8393
224	6841	8361
225	6868	8327
226	6897	8295
227	6924	8261
228	6955	8230
229	6987	8202
230	7028	8184
231	7058	8153
232	7085	8119
233	7116	8090
234	7143	8055
235	7171	8022
236	7197	7987
237	7225	7953
238	7252	7920
239	7280	7886
240	7307	7853
241	7335	7820
242	7363	7787
243	7392	7756
244	7420	7723
245	7454	7696
246	7487	7669
247	7517	7638
248	7555	7615
249	7588	7588
250	7616	7555
251	7650	7528
252	7682	7500
253	7711	7468
254	7740	7437
255	7770	7405
256	7799	7374
257	7827	7342
258	7861	7314
259	7895	7288
260	7924	7256
261	7954	7225
262	7988	7198
263	8016	7166
264	8046	7135
265	8074	7103
266	8103	7071
267	8133	7041
268	8171	7016
269	8200	6985
270	8228	6953
271	8258	6922
272	8288	6892
273	8315	6859
274	8343	6826
275	8398	6815
276	8432	6788
277	8461	6757
278	8488	6723
279	8516	6691
280	8544	6659
281	8571	6626
282	8603	6597
283	8631	6564
284	8658	6532
285	8686	6499
286	8713	6467
287	8751	6441
288	8780	6410
289	8809	6379
290	8836	6346
291	8864	6314
292	8892	6282
293	8921	6250
294	8949	6219
295	8977	6186
296	9005	6155
297	9035	6124
298	9063	6092
299	9091	6060
300	9118	6028
301	9147	5997
302	9175	5965
303	9211	5939
304	9250	5914
305	9286	5887
306	9324	5862
307	9356	5832
308	9388	5803
309	9426	5777
310	9464	5751
311	9499	5724
312	9540	5700
313	9572	5670
314	9602	5639
315	9632	5609
316	9668	5581
317	9701	5552
318	9730	5521
319	9757	5488
320	9787	5457
321	9816	5426
322	9847	5396
323	9882	5368
324	9913	5338
325	9943	5307
326	9974	5277
327	10003	5245
328	10035	5216
329	10064	5184
330	10096	5155
331	10125	5123
332	10154	5092
333	10185	5062
334	10214	5031
335	10243	4999
336	10275	4969
337	10303	4938
338	10334	4907
339	10367	4878
340	10398	4848
341	10429	4818
342	10458	4787
343	10491	4757
344	10523	4727
345	10553	4697
