iter	TotalF1:average=Macro	MultiClass
0	0.7333706668	1.080369766
1	0.7096448544	1.064651936
2	0.7637561549	1.0482986
3	0.7496334062	1.033794579
4	0.737630844	1.019168678
5	0.7366184407	1.004865447
6	0.7620544028	0.9915646988
7	0.7657217335	0.9788760899
8	0.7580268076	0.9663073169
9	0.7714456392	0.9536633352
10	0.7742005143	0.9411267396
11	0.7714795054	0.9303890212
12	0.7737634578	0.9199483065
13	0.7728070764	0.9098929561
14	0.782242594	0.8993770328
15	0.7766145762	0.8894192364
16	0.7743047799	0.8804375557
17	0.7766145762	0.8717307246
18	0.7823189882	0.8629248711
19	0.7743047799	0.8539995648
20	0.7883032001	0.845305758
21	0.7839866555	0.8367478119
22	0.7933537051	0.8294271046
23	0.7839866555	0.8226049575
24	0.784922973	0.8148192082
25	0.794691078	0.8083286046
26	0.7846497251	0.8013094978
27	0.7933537051	0.794089856
28	0.7846402961	0.7866178377
29	0.7846402961	0.7804696311
30	0.7791679792	0.7743739683
31	0.7828807061	0.7681278883
32	0.7803249371	0.7624196966
33	0.7809287547	0.7565694514
34	0.7851739852	0.7510775003
35	0.7925508066	0.7457183455
36	0.7888867121	0.7403316737
37	0.7888867121	0.7342529297
38	0.7888867121	0.7291154423
39	0.7883032001	0.7241109425
40	0.7888867121	0.7189373192
41	0.7888867121	0.7141438249
42	0.7888867121	0.7100992243
43	0.7888867121	0.7053841308
44	0.7907564012	0.700566631
45	0.7907564012	0.6953918585
46	0.7981551271	0.690791174
47	0.7944803562	0.6872765449
48	0.7944803562	0.6832915111
49	0.7907564012	0.6794992231
50	0.7831561588	0.6757586491
51	0.7831561588	0.6717996637
52	0.7831561588	0.6680205916
53	0.7869820764	0.66414371
54	0.7831561588	0.6605233548
55	0.7907564012	0.6573522719
56	0.7907564012	0.6540879764
57	0.7944803562	0.6508363221
58	0.8017818636	0.6475120129
59	0.7981551271	0.6441216249
60	0.8017818636	0.6409357302
61	0.8017818636	0.6377490694
62	0.8017818636	0.6347580914
63	0.7981551271	0.6311983883
64	0.7944803562	0.6278856349
65	0.7944803562	0.6251847016
66	0.7981551271	0.6219756314
67	0.8017818636	0.6186607712
68	0.8017818636	0.6153081152
69	0.7944803562	0.6123304806
70	0.7944803562	0.6095727258
71	0.8017818636	0.6068532776
72	0.7944803562	0.6042677109
73	0.7981551271	0.6020269673
74	0.7981551271	0.5995334003
75	0.7981551271	0.5975668041
76	0.7981551271	0.5953611111
77	0.8022692409	0.593163207
78	0.7981551271	0.5907842405
79	0.7981551271	0.5889072817
80	0.7981551271	0.5863612347
81	0.7944803562	0.5839117202
82	0.7981551271	0.581410428
83	0.8053616813	0.5795825655
84	0.8053616813	0.577416839
85	0.8088956625	0.5746685331
86	0.8088956625	0.5723094222
87	0.8088956625	0.5702457189
88	0.8088956625	0.5681733327
89	0.8053616813	0.566692081
90	0.8053616813	0.5646922219
91	0.8094782013	0.5627122185
92	0.8094782013	0.5610290272
93	0.8094782013	0.5591834799
