iter	TotalF1:average=Macro	MultiClass
0	0.6487361742	1.08204172
1	0.6674094569	1.066009585
2	0.7358495863	1.049611239
3	0.7414539204	1.034655328
4	0.7621681991	1.020624201
5	0.7815871527	1.007214023
6	0.779799079	0.9933686835
7	0.7623482484	0.9791319779
8	0.746058979	0.9668385015
9	0.7532036692	0.9540137127
10	0.7672585469	0.9420420754
11	0.7586282111	0.9311824783
12	0.7589674679	0.9207233764
13	0.7649072129	0.9107609194
14	0.7659909245	0.8996954882
15	0.7765685639	0.8904221028
16	0.7742141596	0.8814270147
17	0.7837632378	0.8723075579
18	0.7756540015	0.8635073865
19	0.779226691	0.8553063939
20	0.7846497251	0.8465998183
21	0.7756540015	0.8382582405
22	0.7801893727	0.8308123345
23	0.7801893727	0.8239437087
24	0.7710414296	0.8161570018
25	0.7710414296	0.8095050636
26	0.7756540015	0.8024906174
27	0.7756540015	0.7954858118
28	0.7765685639	0.7879550567
29	0.7765685639	0.7817776732
30	0.7765685639	0.7749494608
31	0.7810277406	0.7693602111
32	0.7810277406	0.7633237958
33	0.7854139956	0.7573183451
34	0.7854139956	0.7519582325
35	0.7854139956	0.7465770514
36	0.7890371606	0.740787139
37	0.7897293546	0.7348379351
38	0.7933537051	0.7298321584
39	0.7854139956	0.7242332682
40	0.7854139956	0.7193265779
41	0.7939757706	0.7141196279
42	0.7907564012	0.7095061107
43	0.7944803562	0.7048684603
44	0.7907564012	0.7000088871
45	0.7939757706	0.6952687028
46	0.7939757706	0.6908280121
47	0.7976013116	0.6865303965
48	0.7981551271	0.6824670257
49	0.7976013116	0.6781521721
50	0.7939757706	0.674029873
51	0.8017818636	0.6700110017
52	0.8017818636	0.6662178838
53	0.8053616813	0.6624067618
54	0.8053616813	0.6583559044
55	0.8011799288	0.6547341446
56	0.7939757706	0.6514375439
57	0.7976013116	0.6484137499
58	0.7976013116	0.6452463062
59	0.8011799288	0.6419902466
60	0.8047127044	0.6387775373
61	0.8047127044	0.6360563015
62	0.8047127044	0.6333772667
63	0.8047127044	0.6298075401
64	0.8065062947	0.6265422869
65	0.808200689	0.6234460934
66	0.8065062947	0.6207352642
67	0.802981571	0.6171693682
68	0.802981571	0.6139113933
69	0.8053616813	0.6109130093
70	0.802981571	0.6084051412
71	0.8053616813	0.6061490111
72	0.8088956625	0.6035569961
73	0.8088956625	0.6012640917
74	0.8053616813	0.5986085517
75	0.8088956625	0.5966595127
76	0.8088956625	0.5947056216
77	0.8088956625	0.5924764338
78	0.8130133933	0.5901085123
79	0.8130133933	0.5879860084
80	0.8130133933	0.5860568889
81	0.8130133933	0.5838826072
82	0.8130133933	0.5811298322
83	0.8130133933	0.5795958451
84	0.8165038044	0.5771338172
85	0.8165038044	0.5744302662
86	0.8165038044	0.5722495362
87	0.8165038044	0.5702301408
88	0.8165038044	0.5682254935
89	0.8165038044	0.5665850141
90	0.8165038044	0.5645501045
91	0.8165038044	0.5626191335
92	0.8165038044	0.5603280167
93	0.8130133933	0.5584398852
94	0.8130133933	0.5567034478
95	0.8130133933	0.5551235566
96	0.8130133933	0.553646774
97	0.8130133933	0.5519061867
98	0.8130133933	0.5503960135
99	0.8165038044	0.5484626802
100	0.8165038044	0.5467067703
101	0.8165038044	0.5447813537
102	0.8165038044	0.543386611
103	0.8165038044	0.5417620288
104	0.8165038044	0.5400258467
105	0.8165038044	0.5389102952
106	0.8165038044	0.537458731
107	0.8165038044	0.5358839474
108	0.8165038044	0.5340438268
109	0.8165038044	0.5324259802
110	0.8165038044	0.5312203443
111	0.8165038044	0.5295423244
112	0.8165038044	0.5282743446
113	0.8165038044	0.5269099279
114	0.8165038044	0.5255549283
115	0.8165038044	0.5244485703
116	0.8199504546	0.5229707981
117	0.8199504546	0.5214194134
118	0.8165038044	0.520270599
119	0.8165038044	0.5191252641
120	0.8199504546	0.5175987467
121	0.8199504546	0.5160714952
122	0.8199504546	0.514488699
123	0.8199504546	0.5135294384
124	0.8199504546	0.5123824116
125	0.8199504546	0.5111489396
126	0.8199504546	0.5098434512
127	0.8199504546	0.508561266
128	0.8199504546	0.507606251
129	0.8199504546	0.5063175537
130	0.8199504546	0.5052447778
131	0.8199504546	0.5041169043
132	0.8199504546	0.5029572682
133	0.8199504546	0.5018673183
134	0.8199504546	0.500261634
135	0.8199504546	0.4993014475
136	0.8199504546	0.4984514564
137	0.8199504546	0.4973496952
138	0.8199504546	0.4962389958
139	0.8199504546	0.4948977546
140	0.8199504546	0.4937603045
141	0.8199504546	0.4924594767
142	0.8199504546	0.4913192813
143	0.8199504546	0.4903338764
144	0.8199504546	0.4888201598
145	0.8199504546	0.4870472673
146	0.8199504546	0.4859453145
147	0.8199504546	0.4850114958
148	0.8199504546	0.483863671
149	0.8165038044	0.4830208942
150	0.8165038044	0.4821504729
151	0.8165038044	0.4811709416
152	0.8165038044	0.480179663
153	0.8199504546	0.4790393398
154	0.8199504546	0.4782070655
155	0.8240071587	0.477250582
156	0.8240071587	0.4764908028
157	0.8199504546	0.4754534606
158	0.8199504546	0.4736987956
159	0.8240071587	0.4726875018
160	0.8240071587	0.4715717268
161	0.8240071587	0.4707350152
