iter	Passed	Remaining
0	20	10105
1	37	9340
2	54	8970
3	70	8766
4	87	8704
5	105	8655
6	121	8587
7	138	8526
8	155	8485
9	172	8461
10	189	8442
11	207	8429
12	223	8386
13	240	8349
14	257	8314
15	274	8294
16	290	8262
17	307	8230
18	323	8181
19	339	8150
20	356	8122
21	372	8093
22	389	8074
23	406	8057
24	422	8030
25	438	7999
26	454	7970
27	471	7949
28	487	7921
29	504	7897
30	520	7872
31	537	7861
32	553	7836
33	569	7807
34	586	7787
35	602	7765
36	618	7736
37	633	7707
38	649	7682
39	665	7653
40	681	7629
41	697	7608
42	713	7585
43	729	7564
44	746	7545
45	762	7521
46	778	7499
47	793	7474
48	809	7449
49	826	7439
50	848	7467
51	874	7533
52	897	7572
53	914	7553
54	931	7534
55	947	7513
56	964	7496
57	981	7479
58	998	7461
59	1015	7446
60	1032	7428
61	1050	7417
62	1067	7405
63	1084	7387
64	1101	7369
65	1117	7350
66	1134	7332
67	1150	7310
68	1166	7286
69	1182	7266
70	1199	7247
71	1216	7229
72	1231	7204
73	1247	7182
74	1263	7161
75	1280	7143
76	1296	7123
77	1313	7107
78	1329	7087
79	1346	7069
80	1362	7050
81	1378	7028
82	1394	7008
83	1411	6991
84	1427	6970
85	1443	6949
86	1459	6930
87	1476	6910
88	1492	6892
89	1508	6873
90	1524	6851
91	1540	6833
92	1556	6813
93	1573	6796
94	1589	6774
95	1605	6756
96	1621	6738
97	1638	6719
98	1653	6698
99	1670	6680
100	1686	6664
101	1703	6645
102	1719	6626
103	1734	6605
104	1750	6585
105	1766	6566
106	1783	6549
107	1799	6531
108	1815	6512
109	1831	6494
110	1849	6480
111	1864	6460
112	1881	6442
113	1897	6424
114	1914	6409
115	1930	6391
116	1946	6371
117	1963	6355
118	1978	6335
119	1994	6316
120	2010	6296
121	2025	6276
122	2041	6257
123	2057	6240
124	2074	6222
125	2090	6204
126	2106	6185
127	2122	6168
128	2138	6151
129	2155	6133
130	2171	6116
131	2187	6098
132	2202	6078
133	2219	6062
134	2235	6044
135	2251	6027
136	2267	6008
137	2283	5990
138	2299	5972
139	2315	5953
140	2331	5935
141	2347	5917
142	2363	5899
143	2379	5882
144	2394	5863
145	2410	5845
146	2426	5827
147	2442	5809
148	2458	5791
149	2474	5773
150	2489	5754
151	2505	5736
152	2521	5718
153	2537	5701
154	2554	5685
155	2570	5668
156	2586	5650
157	2602	5632
158	2617	5614
159	2633	5597
160	2649	5578
161	2665	5560
162	2681	5544
163	2698	5529
164	2715	5512
165	2730	5494
166	2746	5476
167	2762	5458
168	2777	5440
169	2794	5424
170	2810	5408
171	2827	5392
172	2843	5375
173	2859	5357
174	2875	5340
175	2891	5323
176	2908	5307
177	2924	5290
178	2940	5273
179	2956	5255
180	2972	5238
181	2990	5225
182	3007	5209
183	3023	5193
184	3039	5175
185	3055	5158
186	3071	5141
187	3088	5125
188	3103	5106
189	3118	5088
190	3133	5069
191	3149	5051
192	3164	5033
193	3180	5016
194	3195	4998
195	3211	4980
196	3227	4964
197	3244	4948
198	3260	4931
199	3276	4914
200	3292	4897
201	3308	4880
202	3325	4866
203	3345	4853
204	3361	4837
205	3378	4821
206	3395	4805
207	3411	4789
208	3429	4774
209	3446	4759
210	3464	4744
211	3480	4728
212	3496	4711
213	3512	4694
214	3528	4677
215	3545	4661
216	3561	4644
217	3578	4629
218	3595	4613
219	3612	4597
220	3628	4580
221	3644	4564
222	3660	4546
223	3677	4531
224	3694	4515
225	3711	4500
226	3727	4483
227	3745	4467
228	3761	4450
229	3778	4435
230	3794	4418
231	3810	4401
232	3826	4385
233	3843	4369
234	3860	4352
235	3875	4335
236	3892	4319
237	3908	4302
238	3923	4285
239	3939	4267
240	3955	4250
241	3972	4235
242	3988	4218
243	4004	4200
244	4019	4183
245	4035	4166
246	4051	4149
247	4066	4132
248	4083	4116
249	4100	4100
250	4116	4083
251	4131	4066
252	4146	4048
253	4163	4032
254	4179	4015
255	4195	3998
256	4211	3982
257	4227	3965
258	4244	3949
259	4260	3932
260	4276	3915
261	4292	3899
262	4308	3882
263	4323	3865
264	4340	3849
265	4356	3832
266	4373	3816
267	4388	3798
268	4403	3781
269	4420	3765
270	4436	3748
271	4452	3732
272	4468	3715
273	4483	3698
274	4500	3682
275	4517	3666
276	4533	3649
277	4549	3632
278	4565	3616
279	4580	3598
280	4597	3582
281	4612	3566
282	4628	3549
283	4644	3532
284	4659	3515
285	4675	3498
286	4692	3482
287	4709	3466
288	4729	3452
289	4747	3437
290	4763	3421
291	4779	3404
292	4795	3388
293	4812	3371
294	4828	3355
295	4844	3338
296	4860	3322
297	4876	3305
298	4891	3288
299	4908	3272
300	4924	3255
301	4940	3239
302	4957	3223
303	4973	3206
304	4990	3190
305	5008	3175
306	5024	3158
307	5040	3142
308	5056	3125
309	5072	3108
310	5088	3092
311	5104	3076
312	5121	3059
313	5137	3043
314	5152	3026
315	5169	3010
316	5187	2994
317	5205	2979
318	5222	2963
319	5238	2946
320	5255	2930
321	5273	2915
322	5291	2899
323	5310	2884
324	5329	2869
325	5347	2854
326	5366	2839
327	5385	2824
328	5405	2809
329	5422	2793
330	5438	2776
331	5456	2761
332	5473	2744
