Column,Y_Quality
poly_166,-0.531411727
X_90 + X_120,-0.35615198
X_90 - X_73,-0.35294184
X_90 + X_121,-0.35160135
poly_8,-0.346878512
X_120,-0.346878512
X_121 + X_120,-0.342923994
X_121 - X_73,-0.339552414
X_121,-0.337999976
poly_6,-0.337999976
poly_5,-0.321368901
X_90,-0.321368901
X_530 + X_120,-0.313202113
X_530 - X_73,-0.30986983
X_530 + X_121,-0.307721433
X_532 + X_120,-0.306676126
X_532 - X_73,-0.303140223
X_532 + X_121,-0.301124566
X_530 + X_90,-0.298966454
X_529 + X_120,-0.294680994
X_529 - X_73,-0.29148163
X_532 + X_90,-0.290521179
X_529 + X_121,-0.28952023
X_529 + X_90,-0.279724962
X_90 - X_699,-0.266856354
X_120 - X_699,-0.259506571
X_121 - X_699,-0.254715697
X_120 + X_699,-0.230202824
X_121 + X_699,-0.222319773
poly_259,-0.199288082
X_90 + X_699,-0.191664883
poly_175,-0.174779795
poly_120,-0.160519061
X_863,-0.154516935
X_669,-0.144238058
X_726,-0.143726073
X_464,-0.143726073
X_607,-0.142866192
poly_203,-0.140998157
X_835,-0.138158274
X_696,-0.129979737
X_452,-0.129979737
X_43,-0.127874352
poly_380,-0.123303269
X_524,-0.120970055
X_864,-0.120970055
X_525,-0.118283052
X_397,-0.118283052
poly_340,-0.114876521
X_573,-0.114537055
poly_343,-0.113819663
X_658,-0.112982485
X_38,-0.111935097
X_677,-0.110238763
X_63,-0.109183362
X_121 x X_73,-0.106334672
poly_49,-0.106334672
X_725,-0.105920923
X_454,-0.105920923
X_604,-0.104805158
X_688,-0.10272174
X_2,-0.101994974
X_530,-0.100104703
X_407,-0.09983587
X_534,-0.09983587
X_757,-0.097542365
X_522,-0.097538378
X_858,-0.097538378
X_866,-0.096091193
X_123,-0.095983631
X_532,-0.094205507
X_125 + X_90,-0.091982435
poly_147,-0.090991244
X_908,-0.090704132
X_784,-0.090546383
X_767,-0.089692077
poly_57,-0.089118095
poly_320,-0.088973022
poly_91,-0.086563777
X_88,-0.086358505
X_87,-0.086358505
X_86,-0.086358505
poly_145,-0.085694938
X_97,-0.085646424
X_554,-0.084555241
X_98,-0.084013102
X_5,-0.082504906
X_533,-0.080446012
poly_322,-0.080328898
X_594,-0.07914801
X_404,-0.079029757
X_459,-0.079029757
X_99,-0.078767564
X_489,-0.078200547
X_742,-0.078200547
X_529,-0.078100269
X_548,-0.07777294
X_818,-0.076229903
X_624,-0.076148325
poly_123,-0.075926194
X_444,-0.075081074
X_724,-0.075081074
X_22,-0.074459558
X_597,-0.072981794
X_575,-0.071014072
X_625,-0.071014072
X_857,-0.071014072
X_635,-0.070040378
X_605,-0.070040378
X_612,-0.06986922
X_20,-0.069663901
X_815,-0.069661584
X_694,-0.069426264
X_901,-0.068869336
poly_300,-0.067881967
X_110,-0.06637629
poly_121,-0.066203811
X_578,-0.06579167
X_628,-0.06579167
X_403,-0.065457201
X_449,-0.065457201
X_442,-0.064976253
X_719,-0.064976253
X_406,-0.064722963
X_439,-0.063801191
X_756,-0.06238585
X_865,-0.061987665
X_748,-0.061787066
X_492,-0.061787066
X_679,-0.061323283
X_660,-0.060334771
X_60,-0.059972769
X_711,-0.059615064
poly_325,-0.0594512
X_911,-0.058491806
X_643,-0.058491806
X_496,-0.058491806
X_586,-0.058171274
X_919,-0.057352805
X_483,-0.057352805
X_774,-0.056621214
X_577,-0.05581188
X_627,-0.05581188
X_21,-0.055563266
X_462,-0.05471877
X_720,-0.05471877
X_906,-0.054618712
X_775,-0.054496247
X_807,-0.054297303
X_817,-0.053473511
X_599,-0.053323343
X_932,-0.05317745
X_917,-0.053121575
X_498,-0.053121575
X_645,-0.053121575
X_737,-0.0522436
X_471,-0.0522436
X_686,-0.051859623
X_710,-0.051502046
X_106,-0.051115276
X_891,-0.05109736
X_890,-0.051087054
X_892,-0.051043785
X_893,-0.051021661
X_813,-0.04968489
X_727,-0.0496366
X_540,-0.0496366
X_446,-0.0496366
X_820,-0.049530996
X_509,-0.049202083
X_683,-0.04790787
X_671,-0.04788145
X_768,-0.046339654
X_555,-0.046031637
X_801,-0.045374129
X_39,-0.045361574
X_681,-0.044972565
X_898,-0.044706802
X_675,-0.04390591
X_690,-0.043590016
X_814,-0.04273777
X_782,-0.042731988
X_816,-0.042409394
poly_60,-0.041632675
X_651,-0.041403479
X_734,-0.041243523
X_468,-0.041243523
X_514,-0.040946233
X_918,-0.040946233
X_931,-0.040815942
X_904,-0.040642123
poly_106,-0.040624952
X_668,-0.040522087
X_61,-0.040445189
X_560,-0.03989785
X_423,-0.039457869
X_709,-0.039043518
X_435,-0.03893375
X_445,-0.038514759
X_400,-0.038514759
X_539,-0.038396827
X_618,-0.037982021
X_609,-0.037433065
X_109,-0.037029429
poly_210,-0.036887661
X_587,-0.036800213
X_907,-0.036532423
X_854,-0.03603669
X_57,-0.035353491
X_572,-0.034117036
X_447,-0.034072385
X_541,-0.034072385
X_730,-0.034072385
X_799,-0.033893388
X_576,-0.033869272
X_626,-0.033869272
X_822,-0.033480769
X_689,-0.033302137
X_855,-0.032316741
X_629,-0.032213075
X_579,-0.032213075
X_66,-0.032103363
X_481,-0.032011929
X_913,-0.032011929
X_545,-0.031894956
X_741,-0.031770358
X_473,-0.031770358
X_547,-0.031770358
poly_78,-0.031696457
poly_244,-0.031127474
X_422,-0.030256462
X_455,-0.030100169
X_401,-0.030100169
X_806,-0.02941191
X_783,-0.029114815
X_805,-0.028923397
X_598,-0.028752265
X_916,-0.028095309
X_482,-0.028095309
X_531,-0.028073329
X_413,-0.027543381
poly_185,-0.027488576
X_797,-0.026819422
X_589,-0.026583164
X_622,-0.026472962
X_819,-0.026238054
X_564,-0.026202421
X_614,-0.025875113
X_393,-0.025630815
X_552,-0.025604651
X_809,-0.025120129
X_621,-0.025077913
