feature,correlation
X_2779,-0.433051535
X_1833,-0.430078083
X_2466,-0.430078083
X_2841,-0.428841941
X_1849,-0.41949543
X_2467,-0.41949543
X_240,-0.418810639
X_2780,-0.413847128
X_242,-0.395153391
X_243,-0.395153391
X_335,-0.3893515
X_367,-0.382554708
X_368,-0.382282886
X_2787,-0.350130583
X_2791,-0.32036541
X_2788,-0.317930099
X_2187,-0.290539321
X_2547,-0.290539321
X_2061,-0.284277236
X_2790,-0.281420881
X_1859,-0.271107566
X_267,-0.262090645
X_265,-0.259225669
X_1865,-0.249904126
X_266,-0.243669674
X_2789,-0.243496486
X_2796,-0.23008391
X_1818,-0.22972253
X_1976,-0.224566076
X_2000,-0.224566076
X_2012,-0.224566076
X_1718,-0.223347902
X_1988,-0.212625598
X_2036,-0.212625598
X_2014,-0.212530053
X_1978,-0.212530053
X_2002,-0.212530053
X_2030,-0.208969036
X_1982,-0.208944655
X_2705,-0.208833782
X_1974,-0.208808932
X_1998,-0.208808932
X_2010,-0.208808932
X_2024,-0.207848997
X_2799,-0.20731858
X_2016,-0.207131973
X_1980,-0.207131973
X_2004,-0.207131973
X_1992,-0.206369861
X_2040,-0.206369861
X_2034,-0.205885563
X_1986,-0.205884891
X_1162,-0.205880641
X_1667,-0.205880641
X_2064,-0.205810854
X_2101,-0.205810854
X_2071,-0.205810854
X_1824,-0.205171868
X_1804,-0.205171868
X_287,-0.201931101
X_285,-0.201340433
X_1857,-0.199833729
X_2026,-0.196914989
X_2018,-0.196754585
X_290,-0.196430196
X_1826,-0.195725028
X_1806,-0.195725028
X_2797,-0.195456949
X_1970,-0.190361226
X_1994,-0.190361226
X_2006,-0.190361226
X_2728,-0.187774569
X_2038,-0.187449775
X_2414,-0.184588956
X_2727,-0.184588956
X_1717,-0.184588956
X_2415,-0.184408868
X_1794,-0.183584246
X_1990,-0.183025704
X_1953,-0.182833328
X_2087,-0.181933979
X_2107,-0.181933979
X_2080,-0.181933979
X_1805,-0.179159881
X_1825,-0.179159881
X_1817,-0.178826779
X_1770,-0.176798222
X_2058,-0.175927734
X_1800,-0.175434562
X_2792,-0.174918645
X_2704,-0.17378422
X_120,-0.172245331
X_121,-0.171592505
X_1821,-0.170388668
X_1965,-0.169358619
X_1619,-0.168930979
X_1830,-0.167534913
X_1810,-0.167534913
X_2039,-0.167304862
X_2094,-0.164382287
X_90,-0.162930618
X_1668,-0.159971572
X_2041,-0.159668325
X_295,-0.159577329
X_268,-0.159503892
X_270,-0.159503892
X_2793,-0.157931756
X_1991,-0.157566919
X_1768,-0.157144897
X_1603,-0.156676265
X_1972,-0.156260768
X_2008,-0.156260768
X_1996,-0.156260768
X_306,-0.155916454
X_1984,-0.155100282
X_2032,-0.155029391
X_1424,-0.148552232
X_2748,-0.148064098
X_2015,-0.14614371
X_2003,-0.14614371
X_1979,-0.14614371
X_1666,-0.14502509
X_977,-0.14238442
X_1708,-0.140476618
X_309,-0.140296312
X_1686,-0.137927081
X_1560,-0.13524263
X_352,-0.13403241
X_308,-0.133561353
X_1834,-0.133244684
X_177,-0.130919369
X_1416,-0.130153304
X_974,-0.129397035
X_1183,-0.129327938
X_1710,-0.129064779
X_976,-0.127702402
X_129,-0.127144419
X_2043,-0.126535065
X_356,-0.126150388
X_350,-0.123036912
X_973,-0.12289898
X_333,-0.122287564
X_2042,-0.121715941
X_1620,-0.121399691
X_157,-0.11797034
X_128,-0.117189868
X_1604,-0.117179021
X_949,-0.115724939
X_2449,-0.115026862
X_1631,-0.114621797
X_2441,-0.114391837
X_1187,-0.113781693
X_341,-0.111847781
X_948,-0.11128197
X_1697,-0.110385876
X_1425,-0.110247432
X_1595,-0.109762805
X_2454,-0.109625678
X_1798,-0.108863605
X_1747,-0.108235608
X_1628,-0.107465842
X_957,-0.104813934
X_1163,-0.104813934
X_358,-0.104205487
X_1561,-0.103236556
X_1696,-0.102860926
X_2453,-0.102261334
X_354,-0.101526303
X_1597,-0.101346001
X_1819,-0.100966993
X_348,-0.100842008
X_954,-0.10064552
X_1192,-0.100349247
X_1946,-0.099903865
X_1627,-0.099671532
X_1850,-0.099319735
X_1273,-0.098327297
X_1605,-0.097079923
X_1596,-0.097045819
X_2438,-0.096255308
X_1350,-0.095629668
X_2729,-0.094310291
X_1158,-0.094305133
X_1173,-0.094305133
X_1417,-0.094210935
X_2066,-0.093537369
X_2103,-0.093537369
X_2073,-0.093537369
X_2096,-0.093361708
X_2869,-0.093358477
X_1961,-0.093358477
X_1351,-0.092806482
X_1261,-0.092784302
X_1284,-0.092368346
X_1412,-0.091494424
X_2434,-0.091152587
X_1593,-0.091048621
X_2009,-0.09066679
X_1997,-0.09066679
X_1973,-0.09066679
X_2756,-0.089988283
X_1518,-0.089051647
X_161,-0.088771341
X_972,-0.088539865
X_153,-0.08831645
X_1623,-0.088187439
X_1622,-0.088147122
X_1630,-0.088003132
X_1413,-0.087945272
X_1647,-0.087918637
X_1608,-0.087831778
X_1418,-0.087826749
X_1607,-0.087824152
X_1653,-0.087629307
X_1654,-0.087628535
X_1430,-0.087628001
X_1340,-0.086970473
X_1470,-0.08685074
X_1075,-0.08685074
X_1519,-0.086383446
X_1813,-0.086332776
X_1599,-0.085500115
X_263,-0.085497291
X_2020,-0.085458192
X_2866,-0.085216266
X_1958,-0.085216266
X_2555,-0.084435555
X_2191,-0.084435555
X_1541,-0.083967145
X_1539,-0.083842436
X_1738,-0.083799005
X_1736,-0.083799005
X_1538,-0.083715163
X_1594,-0.083533205
X_1854,-0.083234455
X_1411,-0.083222113
X_1606,-0.082872662
X_1598,-0.082795801
X_1247,-0.081982993
X_1716,-0.081566605
X_1559,-0.081462177
X_1268,-0.080969928
X_1339,-0.079717025
X_1591,-0.079422264
X_1212,-0.079226829
X_1415,-0.078687422
X_1601,-0.07844911
X_2443,-0.078222344
X_1705,-0.078152803
X_1387,-0.077996406
X_5,-0.077871107
X_43,-0.077771631
X_171,-0.077622804
X_1592,-0.077190686
X_1690,-0.077188931
X_1621,-0.077093285
X_1287,-0.077061025
X_1178,-0.077001685
X_1169,-0.076879608
X_1640,-0.076816683
X_156,-0.076204758
X_1414,-0.076173792
X_1410,-0.075570743
X_1028,-0.074863792
X_1461,-0.074863792
X_1213,-0.074857429
X_1447,-0.074763236
X_1033,-0.074763236
X_1401,-0.074762679
X_1050,-0.074762679
X_1448,-0.074760392
X_1067,-0.074760392
X_2089,-0.074370384
X_2109,-0.074370384
X_2082,-0.074370384
X_696,-0.07431492
X_452,-0.07431492
X_1345,-0.074189413
X_1197,-0.074177741
X_1471,-0.074038344
X_1040,-0.074038344
X_1404,-0.074038177
X_1057,-0.074038177
X_1074,-0.074036327
X_1472,-0.074036327
X_1602,-0.073985311
X_339,-0.073029655
X_1358,-0.072964042
X_1175,-0.071297446
X_1366,-0.071012468
X_1600,-0.070940709
X_1822,-0.07077401
X_406,-0.070500042
X_1564,-0.070310813
X_835,-0.069333681
X_2435,-0.069224618
X_1639,-0.069191495
X_863,-0.069005875
X_1045,-0.068157257
X_1402,-0.068157257
X_2754,-0.067986712
X_683,-0.066857111
X_1258,-0.065776054
X_525,-0.065395134
X_397,-0.065395134
X_1499,-0.064993585
X_1143,-0.064993585
X_1498,-0.064991744
X_1116,-0.064991744
X_1089,-0.064988347
X_1497,-0.064988347
X_612,-0.064567773
X_1776,-0.064391465
X_1015,-0.064309196
X_1256,-0.064203408
X_353,-0.064166435
X_175,-0.063438945
X_1062,-0.06286082
X_1462,-0.06286082
X_756,-0.06284855
X_1521,-0.062621441
X_669,-0.062106048
X_407,-0.061513411
X_534,-0.061513411
X_688,-0.061187082
X_866,-0.060855013
X_2755,-0.060311844
X_604,-0.059795934
X_573,-0.059788511
X_1131,-0.059608403
X_1475,-0.059608403
X_1474,-0.059600023
X_1104,-0.059600023
X_1473,-0.05959253
X_1077,-0.05959253
X_1629,-0.059372833
X_110,-0.059260446
X_1341,-0.059101199
X_2709,-0.058669474
X_176,-0.058640322
X_694,-0.058535331
X_357,-0.058306445
X_337,-0.058283851
X_548,-0.058146496
X_361,-0.058002318
X_160,-0.057897549
X_2710,-0.057890201
X_689,-0.05779992
X_1947,-0.057752531
X_1638,-0.057487943
X_658,-0.057353446
X_179,-0.057223501
X_628,-0.057205564
X_578,-0.057205564
X_931,-0.057198695
X_2057,-0.056813152
X_344,-0.056298458
