col_name,feature_importance_vals
X_318,0.0006024556732054831
X_120,0.0004459720450041654
X_248,0.00042593447122969247
X_124,0.00036222636149897995
X_890,0.000335525412098233
X_240,0.0003310540716515526
X_2780,0.00031413015869120376
X_1162,0.0003055614609245245
X_1668,0.00029143815819915027
X_73,0.00028775623004862453
X_1849,0.00027350096077819776
X_90,0.00024084403127224495
X_1286,0.00022334968389901751
X_43,0.00022095054539769806
X_1045,0.0002101119776127065
X_1833,0.00021010222285601382
X_130,0.00019699410881089053
X_2787,0.00019445645190665128
X_867,0.00015728987386527237
X_1949,0.00015247330623168823
X_107,0.0001511486993138822
X_56,0.0001508230687749139
X_884,0.0001419581137842034
X_1864,0.000136437289949656
X_1077,0.00013280730737184513
X_1211,0.0001270349948800929
X_257,0.00012580077553429636
X_1120,0.00012423406153916035
X_1194,0.0001240564605851925
X_1532,0.00012179151124065078
X_1856,0.00011684176005673616
X_1350,0.00011262374149058502
X_437,0.0001098693322670475
X_976,0.00010857037684154565
X_841,0.00010828007699022298
X_954,0.00010764665252789231
X_1389,0.00010605327938135932
X_712,0.00010555567669347468
X_968,9.890244201268593e-05
X_792,9.856616652919938e-05
X_1740,9.683591945095078e-05
X_350,9.472237308945427e-05
X_901,9.315413299589001e-05
X_1110,9.289410722892391e-05
X_1347,9.218683283657161e-05
X_387,9.176699235650222e-05
X_1563,8.955088505954331e-05
X_1810,8.781356432793788e-05
X_1832,8.6760161691751e-05
X_119,8.528866970135047e-05
X_718,8.257902903628263e-05
X_1145,8.02216349209165e-05
X_544,7.942709945922239e-05
X_1366,7.632880112321816e-05
X_554,7.482342312662918e-05
X_1959,7.481971626240489e-05
X_404,7.327528329141237e-05
X_1853,7.252164913589401e-05
X_1052,7.187827158503168e-05
X_103,7.148166351139373e-05
X_1154,6.825666510197534e-05
X_17,6.797793318672557e-05
X_710,6.775394737807444e-05
X_517,6.568871830717386e-05
X_1854,6.350246930043327e-05
X_1550,6.224433193855888e-05
X_1610,6.173146567588863e-05
X_1569,6.077068502125211e-05
X_12,6.0360474445207735e-05
X_2762,6.029397194264628e-05
X_1287,6.0033946237311344e-05
X_1129,5.990792358324644e-05
X_1418,5.946042498634979e-05
X_2065,5.907857126281237e-05
X_518,5.907753925208767e-05
X_835,5.8131006540866484e-05
X_1376,5.7940279679802894e-05
X_1243,5.743361110030492e-05
X_1371,5.584334058939317e-05
X_44,5.502341909476856e-05
X_674,5.365000855181329e-05
X_1088,5.282617147792295e-05
X_1374,5.1623922275910777e-05
X_483,5.1029617825233867e-05
X_786,5.0729612699054884e-05
X_1560,4.912380033552741e-05
X_1540,4.909218739466977e-05
X_774,4.908815377263737e-05
X_1346,4.898677626668203e-05
X_125,4.7089983789930165e-05
X_495,4.654892112645829e-05
X_999,4.6391930012154605e-05
X_958,4.615431148069016e-05
X_594,4.5804095976943146e-05
X_407,4.5779630460981764e-05
X_813,4.57630696226404e-05
X_102,4.572537930519251e-05
X_1203,4.540327038729119e-05
X_838,4.4832122867770266e-05
X_1348,4.481498147700136e-05
X_780,4.3720266218295734e-05
X_1743,4.368043155406956e-05
X_700,4.316918954510194e-05
X_1178,4.316405742331685e-05
X_678,4.310619773829167e-05
X_1048,4.250666900183365e-05
X_1420,4.2230984492814644e-05
X_1381,4.171073269163532e-05
X_1292,4.126721612427878e-05
X_397,4.083248113403246e-05
X_1613,4.0412800379710105e-05
X_818,4.029200179281617e-05
X_1375,4.0253215618903194e-05
X_1419,4.0158896436989476e-05
X_717,3.9987810438072475e-05
X_1274,3.8593625673091e-05
X_2840,3.844879902282917e-05
X_623,3.836499321371326e-05
X_1422,3.816432589393923e-05
X_772,3.714861288936193e-05
X_681,3.709340434021774e-05
X_1152,3.6817075532968555e-05
X_2725,3.629379924227279e-05
X_1352,3.60512258681174e-05
X_428,3.593549843243908e-05
X_1265,3.560182640138454e-05
X_1735,3.487628406371552e-05
X_548,3.4854173090271474e-05
X_2440,3.4482555702609755e-05
X_482,3.446389385446507e-05
X_1544,3.446324345092873e-05
X_693,3.436045809941e-05
X_716,3.401179654656341e-05
X_146,3.346348419222165e-05
X_825,3.337578060058544e-05
X_1720,3.305104025989716e-05
X_499,3.2942665601593905e-05
X_866,3.2361951525987896e-05
X_1036,3.217703213100608e-05
X_794,3.181356678663437e-05
X_1620,3.164030701810603e-05
X_353,3.153479926807536e-05
X_94,3.133385181372811e-05
X_457,3.1233766776288856e-05
X_1945,3.0125572179494886e-05
X_956,2.997670159983345e-05
X_500,2.994789786254136e-05
X_775,2.9749025730126176e-05
X_1221,2.9714449933720815e-05
X_698,2.942543395608979e-05
X_1342,2.9262427274491598e-05
X_1213,2.883949575422963e-05
X_388,2.883934947542112e-05
X_476,2.8617868175306687e-05
X_894,2.8598624258969553e-05
X_1716,2.8392731534772928e-05
X_1758,2.831633342926235e-05
X_663,2.8105759051197316e-05
X_58,2.784593255951325e-05
X_1744,2.7822174147902705e-05
X_2079,2.766638378450043e-05
X_65,2.688528267862983e-05
X_957,2.6603780878756923e-05
X_1428,2.657699269726107e-05
X_1262,2.600131946278087e-05
X_267,2.5145033304861023e-05
X_2841,2.5073088193404303e-05
X_1958,2.460361627249259e-05
X_556,2.456975586788116e-05
X_460,2.4538674799349517e-05
X_448,2.4509531037385643e-05
X_1430,2.419923891987417e-05
X_45,2.3723697555893984e-05
X_256,2.3477748437766866e-05
X_423,2.3102747370518442e-05
X_1051,2.2913920786246996e-05
X_2837,2.22349095402601e-05
X_532,2.175460496475112e-05
X_489,2.1657070710461455e-05
X_494,2.163874678034782e-05
X_401,2.1510770268297034e-05
X_658,2.1433418050932192e-05
X_2027,2.1305489432695053e-05
X_1190,2.102626960248937e-05
X_1632,2.0957056342138345e-05
X_1337,2.069256330086774e-05
X_1543,2.0687775733810037e-05
X_1406,2.060227964053004e-05
X_959,2.0564935572130443e-05
X_996,2.0555037132908102e-05
X_967,2.0540500363660993e-05
X_1000,2.04404898564802e-05
X_285,2.019979084327607e-05
X_440,1.9990801530484962e-05
X_1037,1.9863363528675928e-05
X_574,1.9727242533253486e-05
X_669,1.9676918766600366e-05
X_1153,1.965290747541676e-05
X_379,1.956864550118611e-05
X_1207,1.956473678627345e-05
X_985,1.9422067808558073e-05
